"log_pSat_Pa","MW","NumOfAtoms","NumOfC","NumOfO","NumOfN","NumHBondDonors","NumOfConf","NumOfConfUsed","C.C..non.aromatic.","C.C.C.O.in.non.aromatic.ring","hydroxyl..alkyl.","aldehyde","ketone","carboxylic.acid","ester","ether..alicyclic.","nitrate","nitro","aromatic.hydroxyl","carbonylperoxynitrate","peroxide","hydroperoxide","carbonylperoxyacid","nitroester","toluene","apin","decane"
-7.29435166454739,300.007723696,28,6,12,2,3,401,40,0,0,1,0,0,1,0,1,2,0,0,0,0,1,0,0,1,0,0
-7.39453035403234,237.012080804,23,6,9,1,3,126,2,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0
-4.46772225061493,298.97608922,25,6,13,1,3,465,12,0,0,1,0,0,1,2,0,0,0,0,1,0,1,0,0,1,0,0
-5.33739778869769,297.992073632,26,6,12,2,1,285,40,0,0,0,1,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0
-10.7783560599926,328.002638316,30,7,13,2,4,961,40,0,0,2,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0
-9.1352460258783,222.001181772,21,6,9,0,3,350,40,0,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0,1,0,0
-6.22471031038005,322.064844648,36,10,10,2,1,307,40,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1
-3.55177908445545,225.012080804,22,5,9,1,1,210,40,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
-6.86558243522565,312.991739284,28,7,13,1,3,203,36,0,0,1,0,0,1,2,0,0,0,0,1,0,1,0,0,1,0,0
-11.2458123842061,296.996824664,27,7,12,1,3,104,5,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,0,1,0,0
-3.38142159817737,265.006995424,25,7,10,1,2,225,40,1,0,0,1,1,0,1,0,0,1,0,0,0,2,0,0,1,0,0
2.02532436458548,341.981902872,29,7,14,2,2,350,28,0,0,2,2,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
-2.70021827880638,234.99643074,21,6,9,1,1,23,8,0,0,1,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0
-10.430261369612,312.007723696,29,7,12,2,4,507,40,0,0,3,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0
-8.2643579851095,266.98625998,23,6,11,1,3,490,40,0,0,0,0,1,2,1,0,0,1,0,0,0,1,0,0,1,0,0
-4.81800230120763,294.9811746,25,7,12,1,2,165,20,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
-3.2794679423171,194.006267152,19,5,8,0,2,72,15,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0
-4.68398614954475,269.001910044,25,6,11,1,2,118,40,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,1,0,0
-2.40420901360256,296.960439156,23,6,13,1,2,47,4,0,0,0,0,2,1,0,0,0,0,0,1,1,1,0,0,1,0,0
-2.86207096809823,341.981902872,29,7,14,2,1,127,40,0,0,0,0,2,1,0,0,1,0,0,1,1,0,0,0,1,0,0
-10.2969749689429,236.016831836,24,7,9,0,3,212,14,0,0,1,2,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
-5.87102995608803,357.976817492,30,7,15,2,3,189,40,0,0,2,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0
-3.09946586599234,160.037173356,19,6,5,0,2,24,12,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
-5.36651235269349,265.07976644,33,9,8,1,1,104,40,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
-2.97170133704616,259.069201756,31,10,7,1,0,63,40,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1
-5.92010653926056,310.97608922,26,7,13,1,3,235,32,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0
-3.36108602225142,238.99134536,21,5,10,1,2,177,25,0,0,1,1,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0
-2.87049795419666,225.012080804,22,5,9,1,2,156,34,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0
-4.05571575420811,280.017894456,27,7,10,2,1,102,40,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0
1.01667455062803,341.945517364,25,6,15,2,0,53,40,0,0,0,1,2,0,0,0,0,0,0,2,1,0,0,0,1,0,0
-8.8463383815981,299.012474728,29,7,12,1,3,689,40,0,0,1,2,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0
-9.10237150894891,204.027002596,22,7,7,0,3,137,3,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
-5.35241993969704,206.006267152,20,6,8,0,2,132,40,0,0,0,2,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0
-12.3038962383146,299.012474728,29,7,12,1,4,101,10,0,0,2,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0
-5.32400506982446,246.99643074,22,7,9,1,1,23,11,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
-3.80680282343931,259.069201756,31,10,7,1,0,77,40,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1
-4.26584543714525,191.990617088,17,5,8,0,2,30,16,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
-13.6066796827383,242.02739652,26,6,10,0,5,668,40,0,0,1,0,0,1,0,1,0,0,0,0,0,3,0,0,1,0,0
-6.72992207499933,342.054673888,37,9,12,2,2,313,40,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,1,0
-7.52975631466303,219.985531708,19,6,9,0,2,112,21,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0
-8.11543405465292,338.059759268,37,10,11,2,1,393,40,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,1
-3.69266717069369,264.970609916,21,6,11,1,2,24,9,0,0,1,0,3,0,0,0,0,1,0,0,1,0,1,0,1,0,0
-2.09971957982661,262.99134536,23,7,10,1,1,218,40,0,0,0,3,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0
-4.24921791144782,224.975695296,18,4,10,1,3,50,3,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0
-5.81710995463693,267.022645488,27,7,10,1,3,219,6,0,0,3,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
-8.90319366107074,293.997159012,26,7,11,2,2,176,40,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0
-10.873081214796,283.017560108,28,7,11,1,4,143,1,0,0,3,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
-3.26346893154927,282.069930028,33,8,9,2,1,109,40,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0
-5.86319051501461,281.001910044,26,7,11,1,2,474,40,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
-2.17949384428986,296.012809076,28,7,11,2,2,217,24,0,0,2,2,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
-5.64324173855081,246.99643074,22,7,9,1,1,32,17,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
-9.39468378996607,240.011746456,24,6,10,0,5,197,9,0,0,2,0,1,0,0,1,0,0,0,0,0,3,0,0,1,0,0
-5.12252930354999,175.995702468,16,5,7,0,2,21,7,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0
-4.84217424296462,178.011352532,18,5,7,0,3,62,10,0,0,2,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
-9.48948429626831,235.069201756,29,8,7,1,2,531,40,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1
-5.07358475214116,235.032816248,25,7,8,1,2,218,40,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
-4.39408248216874,306.069930028,35,10,9,2,1,10,4,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0
-4.87072234000585,269.001910044,25,6,11,1,3,307,7,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0
-2.91406767866521,215.990617088,19,7,8,0,1,25,12,1,0,0,2,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0
-2.28861606237267,222.073952788,29,8,7,0,3,96,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
-5.00031103267127,209.053551692,25,6,7,1,2,262,40,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
-4.86502140688575,266.98625998,23,6,11,1,2,125,28,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
-4.99288496193396,250.99134536,22,6,10,1,2,39,3,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0
-6.54349588841592,370.049588508,39,10,13,2,2,733,40,0,0,1,0,2,0,0,0,1,0,0,1,0,1,0,0,0,1,0
